Smartphone,Brand,Model,RAM,Storage,Color,Free,Final Price
RealmeC558256GBSunshowerLibre,Realme,C55,8,256,Yellow,Yes,2316
SamsungGalaxyM235G4128GBAzulLibre,Samsung,GalaxyM23,4,128,Blue,Yes,2790
MotorolaMotoG134128GBAzulLavandaLibre,Motorola,MotoG13,4,128,Blue,Yes,17901
XiaomiRedmiNote11S6128GBGrisLibre,Xiaomi,RedmiNote11S,6,128,Gray,Yes,27999
NothingPhone212512GBBlancoLibre,Nothing,Phone2,12,512,White,Yes,7990
MotorolaMotoE32s464GBGrisLibre,Motorola,MotoE32s,4,64,Gray,Yes,14852
NothingPhone212256GBBlancoLibre,Nothing,Phone2,12,256,White,Yes,6990
Realme9Pro5G8128GBNegroLibre,Realme,9Pro,8,128,Black,Yes,35259
SamsungGalaxyM235G4128GBVerdeLibre,Samsung,GalaxyM23,4,128,Green,Yes,2790
XiaomiRedmiNote12Pro8256GBGrisGrafitoLibre,Xiaomi,RedmiNote12,8,256,Gray,Yes,32999
POCOM45G6128GBNegroLibre,POCO,M4,6,128,Black,Yes,21999
RealmeC31464GBPlataLibre,Realme,C31,4,64,Silver,Yes,17259
RealmeC558256GBRainyNightLibre,Realme,C55,8,256,Black,Yes,2316
XiaomiRedmiNote12Pro5G8256GBNegroLibre,Xiaomi,RedmiNote12,8,256,Black,Yes,38299
XiaomiRedmiNote12Pro5G8256GBAzulLibre,Xiaomi,RedmiNote12,8,256,Blue,Yes,39991
XiaomiRedmiNote124128GBGrisLibre,Xiaomi,RedmiNote12,4,128,Gray,Yes,24999
AppleiPhone14128GBMedianocheLibre,Apple,iPhone14,,128,Black,Yes,10089999999999999
XiaomiRedmiNote12Pro8256GBAzulGlaciarLibre,Xiaomi,RedmiNote12,8,256,Blue,Yes,24926
SamsungGalaxyM13464GBVerdeLibre,Samsung,GalaxyM13,4,64,Green,Yes,1790
XiaomiRedmi10C464GBGrisLibre,Xiaomi,Redmi10C,4,64,Gray,Yes,17999
RealmeNarzo50iPrime332GBAzulLibre,Realme,Narzo50i,3,32,Blue,Yes,1416
Realme11Pro5G8256GBAmoledFHDCurvedSunriseBeigeLibre,Realme,11Pro,8,256,White,Yes,4016
POCOX5Pro5G8256GBNegroLibreCableUSBCaJack,POCO,X5Pro,8,256,Black,Yes,3926
XiaomiRedmiNote114128GBGrisGrafitoLibre,Xiaomi,RedmiNote11,4,128,Gray,Yes,21999
RealmeC536128GB33WCargaRpidaDoradoLibre,Realme,C53,6,128,Gold,Yes,1816
AppleiPhone14ProMax256GBNegroEspacialLibre,Apple,iPhone14,,256,Black,Yes,15990
MotorolaMotoE20232GBGrisGrafitoLibre,Motorola,MotoE20,2,32,Gray,Yes,1060
Realme10AMOLEDFHD8128GBNegroLibre,Realme,10AMOLED,8,128,Black,Yes,2816
SamsungGalaxyM535G8128GBMarrnLibre,Samsung,GalaxyM53,8,128,Brown,Yes,4190
Realme10AMOLEDFHD8128GBBlancoLibre,Realme,10AMOLED,8,128,White,Yes,2816
RealmeC536128GB33WCargaRpidaNegroLibre,Realme,C53,6,128,Black,Yes,1816
AppleiPhone14ProMax128GBNegroEspacialLibre,Apple,iPhone14,,128,Black,Yes,14690
Realme11ProPlus5G12512GBAmoledFHDCurvedSunriseBeigeLibre,Realme,11Pro,12,512,White,Yes,5216
Realme10AMOLEDFHD8256GBBlancoLibre,Realme,10AMOLED,8,256,White,Yes,3016
POCOX5Pro5G8256GBAzulLibreCableUSBCaJack,POCO,X5Pro,8,256,Blue,Yes,39199
Realme10AMOLEDFHD8256GBNegroLibre,Realme,10AMOLED,8,256,Black,Yes,2990
POCOM45G6128GBAzulLibre,POCO,M4,6,128,Blue,Yes,21999
XiaomiRedmiNote124128GBVerdeLibre,Xiaomi,RedmiNote12,4,128,Green,Yes,1689
SamsungGalaxyM335G6128GBAzulLibre,Samsung,GalaxyM33,6,128,Blue,Yes,2990
AppleiPhone14ProMax128GBOroLibre,Apple,iPhone14,,128,Gold,Yes,14690
RealmeC31464GBVerdeLibre,Realme,C31,4,64,Green,Yes,17259
XiaomiRedmiNote124128GBAzulLibre,Xiaomi,RedmiNote12,4,128,Blue,Yes,24999
XiaomiRedmi10C4128GBAzulLibre,Xiaomi,Redmi10C,4,128,Blue,Yes,1990
Realme11ProPlus5G12512GBAmoledFHDCurvedAstralBlackLibre,Realme,11Pro,12,512,Black,Yes,5216
Realme95G464GBNegroLibre,Realme,9,4,64,Black,Yes,26258
MotorolaMotoG238128GBGrisLibre,Motorola,MotoG23,8,128,Gray,Yes,2290
RealmeC334128GBNegroLibre,Realme,C33,4,128,Black,Yes,19259
RealmeNarzo50APrimeFHD464GBAzulLibre,Realme,Narzo50A,4,64,Blue,Yes,17259
XiaomiRedmi9CNFC364GBVerdeLibre,Xiaomi,Redmi9C,3,64,Green,Yes,1590
Realme11Pro5G8256GBAmoledFHDCurvedAstralBlackLibre,Realme,11Pro,8,256,Black,Yes,4016
XiaomiRedmiA1232GBNegroLibre,Xiaomi,RedmiA1,2,32,Black,Yes,1090
MotorolaMotoG326128GBPlataLibre,Motorola,MotoG32,6,128,Silver,Yes,2090
POCOX55G8256GBNegroLibreCableUSBCaJack,POCO,X5,8,256,Black,Yes,34399
XiaomiRedmiNote12Pro5G8256GBBlancoLibre,Xiaomi,RedmiNote12,8,256,White,Yes,32937
NothingPhone212256GBGrisOscuroLibre,Nothing,Phone2,12,256,Gray,Yes,6990
MotorolaMotoG735G8256GBMidnightBlueLibre,Motorola,MotoG73,8,256,Gold,Yes,2990
SamsungGalaxyA545G8128GBNegroLibre,Samsung,GalaxyA54,8,128,Black,Yes,37796
XiaomiRedmiA1232GBAzulClaroLibre,Xiaomi,RedmiA1,2,32,Blue,Yes,1090
XiaomiRedmiA1232GBNegroLibreCableUSBCaJack,Xiaomi,RedmiA1,2,32,Black,Yes,1090
XiaomiRedmiA1232GBVerdeClaroLibre,Xiaomi,RedmiA1,2,32,Green,Yes,1090
XiaomiRedmi12C4128GBGrisLibre,Xiaomi,Redmi12C,4,128,Gray,Yes,1230
XiaomiRedmi10A232GBGrisLibre,Xiaomi,Redmi10A,2,32,Gray,Yes,9559
Realme96128GBNegroLibre,Realme,9,6,128,Black,Yes,2816
XiaomiRedmiNote124128GBGrisLibreCableUSBCaJack,Xiaomi,RedmiNote12,4,128,Gray,Yes,2490
XiaomiRedmiNote125G4128GBVerdeLibreCableUSBCaJack,Xiaomi,RedmiNote12,4,128,Green,Yes,2790
RealmeGT28128GBBlancoLibre,Realme,GT2,8,128,White,Yes,55259
XiaomiRedmiNote124128GBAzulLibreCableUSBCaJack,Xiaomi,RedmiNote12,4,128,Blue,Yes,2490
XiaomiRedmiNote12Pro8256GBBlancoPolarLibre,Xiaomi,RedmiNote12,8,256,White,Yes,26195
MotorolaMotoG134128GBGrisLibre,Motorola,MotoG13,4,128,Gray,Yes,1790
XiaomiRedmiNote12464GBAzulLibreCableUSBCaJack,Xiaomi,RedmiNote12,4,64,Blue,Yes,2290
XiaomiRedmi10A4128GBGrisLibreCableUSBCaJack,Xiaomi,Redmi10A,4,128,Gray,Yes,1790
RealmeNarzo50APrimeFHD464GBNegroLibre,Realme,Narzo50A,4,64,Black,Yes,17259
RealmeC30332GBAzulLibre,Realme,C30,3,32,Blue,Yes,14259
MotorolaMotoE13264GBNegroLibre,Motorola,MotoE13,2,64,Black,Yes,1190
